trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.5, 'e': 0.8998668269691938}",25,7,26.211867702540708,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.580598912666927}",25,9,-15.235341314565114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.11918013544881928}",20,0,19.848156140518856,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.37141809547969407}",20,3,26.884360631148795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.7710802229758452}",25,7,27.002156102214638,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.9819550195245901}",35,19,24.82691765473217,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.9524129804151563}",25,9,21.427278648803313,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.6896870271361664}",20,0,27.309034970897784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.25810163593826746}",25,10,18.62003180515316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.23667603734656428}",25,0,22.487725682494094,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.6735071623235862}",20,0,34.82345826511459,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.9454402445803316}",20,3,21.96542139800966,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.9858965815825497}",30,20,12.873844064361958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.784971051068018}",25,12,21.998281632454574,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.39185723042955}",20,4,22.410959790472976,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.0971969067167568}",30,22,2.234249254565282,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.562453851238172}",20,0,4.543158530186958,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.8900024767126464}",25,0,-7.347702199090263,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.99964745596635}",20,5,-20.281826711391254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.8645438740756395}",25,0,32.339342838411405,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.5177697997895051}",25,5,32.74405829960099,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.04422762066183891}",20,0,27.89139703402202,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.4401430224960407}",25,11,21.018993396649613,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.8167513032223337}",20,12,15.908492059586873,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.9933903797222716}",25,20,10.339241225039334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.926812845565509}",30,7,35.08269056656483,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.6333192030862999}",20,6,20.329081948883527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
